Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-08 17:33:18,2019-07-08 17:34:47,1m - 28.617s,ERROR
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-08 17:33:19,2019-07-08 17:34:17,58.418s,PASSED
startApplication,,,2019-07-08 17:33:19,2019-07-08 17:33:37,17.059s,PASSED
verifyElementText,,,2019-07-08 17:33:37,2019-07-08 17:33:41,4.360s,PASSED
tap,,,2019-07-08 17:33:41,2019-07-08 17:33:54,12.988s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-08 17:33:54,2019-07-08 17:34:10,16.537s,PASSED
setText,,,2019-07-08 17:34:10,2019-07-08 17:34:12,1.914s,PASSED
tap,,,2019-07-08 17:34:12,2019-07-08 17:34:14,1.402s,PASSED
delay,,,2019-07-08 17:34:14,2019-07-08 17:34:17,3.053s,PASSED
verifyElementText,,,2019-07-08 17:34:17,2019-07-08 17:34:17,0.356s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-08 17:34:17,2019-07-08 17:34:25,7.901s,PASSED
delay,,,2019-07-08 17:34:17,2019-07-08 17:34:20,3.008s,PASSED
tap,,,2019-07-08 17:34:20,2019-07-08 17:34:22,1.578s,PASSED
setText,,,2019-07-08 17:34:22,2019-07-08 17:34:23,1.074s,PASSED
tap,,,2019-07-08 17:34:23,2019-07-08 17:34:25,2.036s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-08 17:34:25,2019-07-08 17:34:45,19.905s,ERROR
delay,,,2019-07-08 17:34:25,2019-07-08 17:34:28,3.004s,PASSED
tap,,,2019-07-08 17:34:28,2019-07-08 17:34:31,2.464s,PASSED
delay,,,2019-07-08 17:34:31,2019-07-08 17:34:36,5.005s,PASSED
tap,,,2019-07-08 17:34:36,2019-07-08 17:34:38,1.860s,PASSED
delay,,,2019-07-08 17:34:38,2019-07-08 17:34:41,3.004s,PASSED
verifyElementText,,,2019-07-08 17:34:41,2019-07-08 17:34:41,0.277s,PASSED
delay,,,2019-07-08 17:34:41,2019-07-08 17:34:44,3.006s,PASSED
waitForElementPresent,,,2019-07-08 17:34:44,2019-07-08 17:34:45,0.750s,PASSED
verifyForElementPresent,,,2019-07-08 17:34:45,2019-07-08 17:34:45,0.012s,PASSED
