Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-08 16:02:06,2019-07-08 16:03:24,1m - 18.745s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-08 16:02:06,2019-07-08 16:02:58,51.534s,PASSED
startApplication,,,2019-07-08 16:02:07,2019-07-08 16:02:26,18.865s,PASSED
verifyElementText,,,2019-07-08 16:02:26,2019-07-08 16:02:33,7.012s,PASSED
tap,,,2019-07-08 16:02:33,2019-07-08 16:02:34,1.277s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-08 16:02:34,2019-07-08 16:02:51,17.089s,PASSED
setText,,,2019-07-08 16:02:51,2019-07-08 16:02:53,1.941s,PASSED
tap,,,2019-07-08 16:02:53,2019-07-08 16:02:55,1.433s,PASSED
delay,,,2019-07-08 16:02:55,2019-07-08 16:02:58,3.041s,PASSED
verifyElementText,,,2019-07-08 16:02:58,2019-07-08 16:02:58,0.230s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-08 16:02:58,2019-07-08 16:03:07,8.928s,PASSED
delay,,,2019-07-08 16:02:58,2019-07-08 16:03:01,3.015s,PASSED
tap,,,2019-07-08 16:03:01,2019-07-08 16:03:04,2.525s,PASSED
setText,,,2019-07-08 16:03:04,2019-07-08 16:03:05,1.107s,PASSED
tap,,,2019-07-08 16:03:05,2019-07-08 16:03:07,1.984s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-08 16:03:07,2019-07-08 16:03:22,15.162s,FAILED
delay,,,2019-07-08 16:03:07,2019-07-08 16:03:10,3.022s,PASSED
tap,,,2019-07-08 16:03:10,2019-07-08 16:03:19,8.707s,PASSED
delay,,,2019-07-08 16:03:19,2019-07-08 16:03:21,2.005s,PASSED
tap,,,2019-07-08 16:03:21,2019-07-08 16:03:22,0.910s,FAILED
