Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Home,,,2019-08-20 13:09:35,2019-08-20 13:09:53,17.596s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-20 13:09:36,2019-08-20 13:09:42,6.135s,FAILED
startApplication,,,2019-08-20 13:09:36,2019-08-20 13:09:42,5.579s,FAILED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-20 13:09:42,2019-08-20 13:09:45,3.425s,FAILED
delay,,,2019-08-20 13:09:42,2019-08-20 13:09:45,3.047s,PASSED
tap,,,2019-08-20 13:09:45,2019-08-20 13:09:45,0.087s,PASSED
,,,,,,
Test Cases/Home/Home,,,2019-08-20 13:09:45,2019-08-20 13:09:53,7.326s,PASSED
delay,,,2019-08-20 13:09:46,2019-08-20 13:09:53,7.020s,PASSED
