Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-09 10:22:01,2019-07-09 10:23:23,1m - 21.440s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-09 10:22:03,2019-07-09 10:23:03,1m - 0.238s,PASSED
startApplication,,,2019-07-09 10:22:04,2019-07-09 10:22:26,21.848s,PASSED
verifyElementText,,,2019-07-09 10:22:26,2019-07-09 10:22:31,4.882s,PASSED
tap,,,2019-07-09 10:22:31,2019-07-09 10:22:33,2.948s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-09 10:22:33,2019-07-09 10:22:53,19.042s,PASSED
setText,,,2019-07-09 10:22:53,2019-07-09 10:22:55,2.050s,PASSED
tap,,,2019-07-09 10:22:55,2019-07-09 10:22:56,1.660s,PASSED
delay,,,2019-07-09 10:22:56,2019-07-09 10:22:59,3.037s,PASSED
verifyElementText,,,2019-07-09 10:22:59,2019-07-09 10:23:03,3.721s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-09 10:23:03,2019-07-09 10:23:11,8.034s,PASSED
delay,,,2019-07-09 10:23:03,2019-07-09 10:23:06,3.005s,PASSED
tap,,,2019-07-09 10:23:06,2019-07-09 10:23:08,1.756s,PASSED
setText,,,2019-07-09 10:23:08,2019-07-09 10:23:09,1.058s,PASSED
tap,,,2019-07-09 10:23:09,2019-07-09 10:23:11,2.010s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-09 10:23:11,2019-07-09 10:23:21,10.303s,FAILED
delay,,,2019-07-09 10:23:11,2019-07-09 10:23:16,5.017s,PASSED
tap,,,2019-07-09 10:23:16,2019-07-09 10:23:21,4.869s,FAILED
