Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
3_EditTujuanFinansialKu,,,2019-07-24 14:47:12,2019-07-24 14:48:43,1m - 30.800s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-24 14:47:13,2019-07-24 14:48:22,1m - 8.563s,PASSED
startApplication,,,2019-07-24 14:47:13,2019-07-24 14:47:49,35.396s,PASSED
verifyElementText,,,2019-07-24 14:47:49,2019-07-24 14:47:56,7.455s,PASSED
tap,,,2019-07-24 14:47:56,2019-07-24 14:47:58,2.115s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-24 14:47:58,2019-07-24 14:48:14,15.057s,PASSED
setText,,,2019-07-24 14:48:14,2019-07-24 14:48:16,2.584s,PASSED
tap,,,2019-07-24 14:48:16,2019-07-24 14:48:18,1.526s,PASSED
delay,,,2019-07-24 14:48:18,2019-07-24 14:48:21,3.060s,PASSED
verifyElementText,,,2019-07-24 14:48:21,2019-07-24 14:48:22,0.816s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-24 14:48:22,2019-07-24 14:48:30,8.405s,PASSED
delay,,,2019-07-24 14:48:22,2019-07-24 14:48:25,3.016s,PASSED
tap,,,2019-07-24 14:48:25,2019-07-24 14:48:26,1.555s,PASSED
setText,,,2019-07-24 14:48:26,2019-07-24 14:48:27,1.073s,PASSED
tap,,,2019-07-24 14:48:27,2019-07-24 14:48:30,2.484s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/EditTujuanFinansial,,,2019-07-24 14:48:30,2019-07-24 14:48:41,10.579s,PASSED
delay,,,2019-07-24 14:48:30,2019-07-24 14:48:33,3.014s,PASSED
tap,,,2019-07-24 14:48:33,2019-07-24 14:48:36,3.168s,PASSED
delay,,,2019-07-24 14:48:36,2019-07-24 14:48:39,3.006s,PASSED
tap,,,2019-07-24 14:48:39,2019-07-24 14:48:41,1.118s,PASSED
