Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_AddToCart,,,2019-07-05 14:05:50,2019-07-05 14:07:31,1m - 41.066s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-05 14:05:51,2019-07-05 14:06:39,48.815s,PASSED
startApplication,,,2019-07-05 14:05:51,2019-07-05 14:06:09,18.360s,PASSED
verifyElementText,,,2019-07-05 14:06:09,2019-07-05 14:06:14,4.979s,PASSED
tap,,,2019-07-05 14:06:14,2019-07-05 14:06:15,1.088s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-05 14:06:15,2019-07-05 14:06:32,16.644s,PASSED
setText,,,2019-07-05 14:06:32,2019-07-05 14:06:34,2.118s,PASSED
tap,,,2019-07-05 14:06:34,2019-07-05 14:06:36,1.408s,PASSED
delay,,,2019-07-05 14:06:36,2019-07-05 14:06:39,3.037s,PASSED
verifyElementText,,,2019-07-05 14:06:39,2019-07-05 14:06:39,0.721s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-05 14:06:39,2019-07-05 14:06:47,8.056s,PASSED
delay,,,2019-07-05 14:06:40,2019-07-05 14:06:43,3.006s,PASSED
tap,,,2019-07-05 14:06:43,2019-07-05 14:06:44,1.741s,PASSED
setText,,,2019-07-05 14:06:44,2019-07-05 14:06:45,1.065s,PASSED
tap,,,2019-07-05 14:06:45,2019-07-05 14:06:47,2.040s,PASSED
,,,,,,
Test Cases/Home/Reksadana/AddToCart/AddToCart,,,2019-07-05 14:06:47,2019-07-05 14:07:29,42.037s,PASSED
delay,,,2019-07-05 14:06:48,2019-07-05 14:06:51,3.016s,PASSED
tap,,,2019-07-05 14:06:51,2019-07-05 14:06:55,3.984s,PASSED
delay,,,2019-07-05 14:06:55,2019-07-05 14:06:58,3.007s,PASSED
tap,,,2019-07-05 14:06:58,2019-07-05 14:07:00,2.429s,PASSED
delay,,,2019-07-05 14:07:00,2019-07-05 14:07:03,3.006s,PASSED
tap,,,2019-07-05 14:07:03,2019-07-05 14:07:07,3.335s,PASSED
tap,,,2019-07-05 14:07:07,2019-07-05 14:07:10,3.346s,PASSED
delay,,,2019-07-05 14:07:10,2019-07-05 14:07:13,3.007s,PASSED
tap,,,2019-07-05 14:07:13,2019-07-05 14:07:14,0.862s,PASSED
tap,,,2019-07-05 14:07:14,2019-07-05 14:07:17,3.346s,PASSED
delay,,,2019-07-05 14:07:17,2019-07-05 14:07:20,3.003s,PASSED
tap,,,2019-07-05 14:07:20,2019-07-05 14:07:21,0.867s,PASSED
delay,,,2019-07-05 14:07:21,2019-07-05 14:07:24,3.008s,PASSED
tap,,,2019-07-05 14:07:24,2019-07-05 14:07:26,2.498s,PASSED
delay,,,2019-07-05 14:07:26,2019-07-05 14:07:29,3.006s,PASSED
