Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-08 16:07:54,2019-07-08 16:09:32,1m - 37.745s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-08 16:07:56,2019-07-08 16:09:06,1m - 9.403s,PASSED
startApplication,,,2019-07-08 16:07:58,2019-07-08 16:08:31,33.380s,PASSED
verifyElementText,,,2019-07-08 16:08:31,2019-07-08 16:08:39,7.864s,PASSED
tap,,,2019-07-08 16:08:39,2019-07-08 16:08:40,1.416s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-08 16:08:40,2019-07-08 16:08:58,17.657s,PASSED
setText,,,2019-07-08 16:08:58,2019-07-08 16:09:00,2.227s,PASSED
tap,,,2019-07-08 16:09:00,2019-07-08 16:09:02,1.899s,PASSED
delay,,,2019-07-08 16:09:02,2019-07-08 16:09:05,3.052s,PASSED
verifyElementText,,,2019-07-08 16:09:05,2019-07-08 16:09:06,0.753s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-08 16:09:06,2019-07-08 16:09:14,8.255s,PASSED
delay,,,2019-07-08 16:09:06,2019-07-08 16:09:09,3.027s,PASSED
tap,,,2019-07-08 16:09:09,2019-07-08 16:09:11,1.708s,PASSED
setText,,,2019-07-08 16:09:11,2019-07-08 16:09:12,1.169s,PASSED
tap,,,2019-07-08 16:09:12,2019-07-08 16:09:14,2.129s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-08 16:09:14,2019-07-08 16:09:29,15.360s,FAILED
delay,,,2019-07-08 16:09:14,2019-07-08 16:09:17,3.004s,PASSED
tap,,,2019-07-08 16:09:17,2019-07-08 16:09:23,5.465s,PASSED
delay,,,2019-07-08 16:09:23,2019-07-08 16:09:28,5.007s,PASSED
tap,,,2019-07-08 16:09:28,2019-07-08 16:09:29,1.649s,FAILED
