Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DapatkanRekomendasi,,,2019-07-03 10:48:26,2019-07-03 10:49:49,1m - 23.414s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-03 10:48:26,2019-07-03 10:49:19,52.781s,PASSED
startApplication,,,2019-07-03 10:48:27,2019-07-03 10:48:47,20.287s,PASSED
verifyElementText,,,2019-07-03 10:48:47,2019-07-03 10:48:52,5.445s,PASSED
tap,,,2019-07-03 10:48:52,2019-07-03 10:48:54,1.226s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-03 10:48:54,2019-07-03 10:49:12,18.612s,PASSED
setText,,,2019-07-03 10:49:12,2019-07-03 10:49:14,1.999s,PASSED
tap,,,2019-07-03 10:49:14,2019-07-03 10:49:16,1.473s,PASSED
delay,,,2019-07-03 10:49:16,2019-07-03 10:49:19,3.037s,PASSED
verifyElementText,,,2019-07-03 10:49:19,2019-07-03 10:49:19,0.217s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-03 10:49:19,2019-07-03 10:49:27,7.869s,PASSED
delay,,,2019-07-03 10:49:19,2019-07-03 10:49:22,3.009s,PASSED
tap,,,2019-07-03 10:49:22,2019-07-03 10:49:24,1.424s,PASSED
setText,,,2019-07-03 10:49:24,2019-07-03 10:49:25,1.087s,PASSED
tap,,,2019-07-03 10:49:25,2019-07-03 10:49:27,2.079s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/DapatkanRekomendasi,,,2019-07-03 10:49:27,2019-07-03 10:49:47,20.301s,FAILED
delay,,,2019-07-03 10:49:27,2019-07-03 10:49:30,3.005s,PASSED
tap,,,2019-07-03 10:49:30,2019-07-03 10:49:33,3.301s,PASSED
setText,,,2019-07-03 10:49:33,2019-07-03 10:49:47,13.662s,FAILED
