Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ListUpdateTerbaru,,,2019-07-11 14:46:32,2019-07-11 14:48:13,1m - 40.293s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-11 14:46:33,2019-07-11 14:47:36,1m - 2.515s,PASSED
startApplication,,,2019-07-11 14:46:34,2019-07-11 14:47:00,26.020s,PASSED
verifyElementText,,,2019-07-11 14:47:00,2019-07-11 14:47:04,4.439s,PASSED
tap,,,2019-07-11 14:47:04,2019-07-11 14:47:10,6.068s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-11 14:47:10,2019-07-11 14:47:29,18.780s,PASSED
setText,,,2019-07-11 14:47:29,2019-07-11 14:47:31,1.994s,PASSED
tap,,,2019-07-11 14:47:31,2019-07-11 14:47:32,1.449s,PASSED
delay,,,2019-07-11 14:47:32,2019-07-11 14:47:35,3.041s,PASSED
verifyElementText,,,2019-07-11 14:47:35,2019-07-11 14:47:36,0.241s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-11 14:47:36,2019-07-11 14:47:43,7.660s,PASSED
delay,,,2019-07-11 14:47:36,2019-07-11 14:47:39,3.005s,PASSED
tap,,,2019-07-11 14:47:39,2019-07-11 14:47:40,1.342s,PASSED
setText,,,2019-07-11 14:47:40,2019-07-11 14:47:41,1.082s,PASSED
tap,,,2019-07-11 14:47:41,2019-07-11 14:47:43,1.974s,PASSED
,,,,,,
Test Cases/Home/UpdateTerbaru,,,2019-07-11 14:47:43,2019-07-11 14:48:11,27.898s,PASSED
delay,,,2019-07-11 14:47:43,2019-07-11 14:47:48,5.007s,PASSED
"Statement - For ([i = 0, i < 2, (i++)])",,,2019-07-11 14:47:48,2019-07-11 14:48:11,22.758s,PASSED
