Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_Filter,,,2019-07-04 15:39:49,2019-07-04 15:41:02,1m - 12.776s,ERROR
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-04 15:39:50,2019-07-04 15:40:44,53.888s,PASSED
startApplication,,,2019-07-04 15:39:50,2019-07-04 15:40:10,19.979s,PASSED
verifyElementText,,,2019-07-04 15:40:10,2019-07-04 15:40:16,5.876s,PASSED
tap,,,2019-07-04 15:40:16,2019-07-04 15:40:18,2.314s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-04 15:40:18,2019-07-04 15:40:36,17.926s,PASSED
setText,,,2019-07-04 15:40:36,2019-07-04 15:40:38,2.043s,PASSED
tap,,,2019-07-04 15:40:38,2019-07-04 15:40:40,1.520s,PASSED
delay,,,2019-07-04 15:40:40,2019-07-04 15:40:43,3.053s,PASSED
verifyElementText,,,2019-07-04 15:40:43,2019-07-04 15:40:44,0.702s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-04 15:40:44,2019-07-04 15:40:52,8.053s,PASSED
delay,,,2019-07-04 15:40:44,2019-07-04 15:40:47,3.016s,PASSED
tap,,,2019-07-04 15:40:47,2019-07-04 15:40:49,1.701s,PASSED
setText,,,2019-07-04 15:40:49,2019-07-04 15:40:50,1.246s,PASSED
tap,,,2019-07-04 15:40:50,2019-07-04 15:40:52,1.843s,PASSED
,,,,,,
Test Cases/Home/Reksadana/Filter/Filter,,,2019-07-04 15:40:52,2019-07-04 15:41:00,7.894s,ERROR
tap,,,2019-07-04 15:40:52,2019-07-04 15:40:57,5.070s,PASSED
tap,,,2019-07-04 15:40:57,2019-07-04 15:40:59,2.433s,PASSED
tapAndHold,,,2019-07-04 15:40:59,2019-07-04 15:40:59,0.012s,PASSED
