Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ListUpdateTerbaru,,,2019-07-11 14:53:12,2019-07-11 14:54:24,1m - 11.606s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-11 14:53:13,2019-07-11 14:54:05,51.683s,PASSED
startApplication,,,2019-07-11 14:53:14,2019-07-11 14:53:33,19.566s,PASSED
verifyElementText,,,2019-07-11 14:53:33,2019-07-11 14:53:38,4.739s,PASSED
tap,,,2019-07-11 14:53:38,2019-07-11 14:53:40,1.946s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-11 14:53:40,2019-07-11 14:53:58,17.927s,PASSED
setText,,,2019-07-11 14:53:58,2019-07-11 14:54:00,1.870s,PASSED
tap,,,2019-07-11 14:54:00,2019-07-11 14:54:01,1.686s,PASSED
delay,,,2019-07-11 14:54:01,2019-07-11 14:54:04,3.046s,PASSED
verifyElementText,,,2019-07-11 14:54:04,2019-07-11 14:54:05,0.283s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-11 14:54:05,2019-07-11 14:54:13,7.851s,PASSED
delay,,,2019-07-11 14:54:05,2019-07-11 14:54:08,3.005s,PASSED
tap,,,2019-07-11 14:54:08,2019-07-11 14:54:10,1.561s,PASSED
setText,,,2019-07-11 14:54:10,2019-07-11 14:54:11,1.064s,PASSED
tap,,,2019-07-11 14:54:11,2019-07-11 14:54:13,2.013s,PASSED
,,,,,,
Test Cases/Home/UpdateTerbaru,,,2019-07-11 14:54:13,2019-07-11 14:54:22,9.416s,PASSED
delay,,,2019-07-11 14:54:13,2019-07-11 14:54:18,5.014s,PASSED
tap,,'Tap on Views',2019-07-11 14:54:18,2019-07-11 14:54:21,3.342s,PASSED
Statement - device_Height = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getDeviceHeight(),,Get Device Height and Store in device_height variable,2019-07-11 14:54:21,2019-07-11 14:54:22,0.346s,PASSED
Statement - device_Width = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getDeviceWidth(),,Get Width Height and Store in device_Width variable,2019-07-11 14:54:22,2019-07-11 14:54:22,0.326s,PASSED
Statement - startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,2019-07-11 14:54:22,2019-07-11 14:54:22,0.014s,PASSED
Statement - endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,2019-07-11 14:54:22,2019-07-11 14:54:22,0.001s,PASSED
Statement - startY = device_Height * 0.30,,Storing the startY value,2019-07-11 14:54:22,2019-07-11 14:54:22,0.002s,PASSED
Statement - endY = device_Height * 0.70,,Storing the endY value,2019-07-11 14:54:22,2019-07-11 14:54:22,0.001s,PASSED
