Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-08 19:23:55,2019-07-08 19:25:38,1m - 42.872s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-08 19:23:55,2019-07-08 19:24:47,51.716s,PASSED
startApplication,,,2019-07-08 19:23:56,2019-07-08 19:24:17,20.929s,PASSED
verifyElementText,,,2019-07-08 19:24:17,2019-07-08 19:24:22,5.304s,PASSED
tap,,,2019-07-08 19:24:22,2019-07-08 19:24:23,1.209s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-08 19:24:23,2019-07-08 19:24:40,16.575s,PASSED
setText,,,2019-07-08 19:24:40,2019-07-08 19:24:42,1.947s,PASSED
tap,,,2019-07-08 19:24:42,2019-07-08 19:24:43,1.527s,PASSED
delay,,,2019-07-08 19:24:43,2019-07-08 19:24:46,3.031s,PASSED
verifyElementText,,,2019-07-08 19:24:46,2019-07-08 19:24:47,0.695s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-08 19:24:47,2019-07-08 19:24:55,8.031s,PASSED
delay,,,2019-07-08 19:24:47,2019-07-08 19:24:50,3.004s,PASSED
tap,,,2019-07-08 19:24:50,2019-07-08 19:24:52,1.722s,PASSED
setText,,,2019-07-08 19:24:52,2019-07-08 19:24:53,1.054s,PASSED
tap,,,2019-07-08 19:24:53,2019-07-08 19:24:55,1.978s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-08 19:24:55,2019-07-08 19:25:36,40.778s,FAILED
delay,,,2019-07-08 19:24:55,2019-07-08 19:24:58,3.007s,PASSED
delay,,,2019-07-08 19:24:58,2019-07-08 19:25:03,5.003s,PASSED
tap,,,2019-07-08 19:25:03,2019-07-08 19:25:05,1.327s,PASSED
tap,,,2019-07-08 19:25:05,2019-07-08 19:25:36,31.235s,FAILED
