Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ListUpdateTerbaru,,,2019-07-11 13:42:36,2019-07-11 13:43:53,1m - 16.548s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-11 13:42:37,2019-07-11 13:43:27,50.126s,PASSED
startApplication,,,2019-07-11 13:42:37,2019-07-11 13:42:56,18.143s,PASSED
verifyElementText,,,2019-07-11 13:42:56,2019-07-11 13:43:02,6.822s,PASSED
tap,,,2019-07-11 13:43:02,2019-07-11 13:43:03,1.106s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-11 13:43:03,2019-07-11 13:43:20,16.849s,PASSED
setText,,,2019-07-11 13:43:20,2019-07-11 13:43:22,1.978s,PASSED
tap,,,2019-07-11 13:43:22,2019-07-11 13:43:24,1.445s,PASSED
delay,,,2019-07-11 13:43:24,2019-07-11 13:43:27,3.045s,PASSED
verifyElementText,,,2019-07-11 13:43:27,2019-07-11 13:43:27,0.223s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-11 13:43:27,2019-07-11 13:43:35,7.658s,PASSED
delay,,,2019-07-11 13:43:27,2019-07-11 13:43:30,3.018s,PASSED
tap,,,2019-07-11 13:43:30,2019-07-11 13:43:32,1.302s,PASSED
setText,,,2019-07-11 13:43:32,2019-07-11 13:43:33,1.072s,PASSED
tap,,,2019-07-11 13:43:33,2019-07-11 13:43:35,2.007s,PASSED
,,,,,,
Test Cases/Home/UpdateTerbaru,,,2019-07-11 13:43:35,2019-07-11 13:43:51,16.376s,PASSED
delay,,,2019-07-11 13:43:35,2019-07-11 13:43:40,5.012s,PASSED
tap,,,2019-07-11 13:43:40,2019-07-11 13:43:44,3.727s,PASSED
swipe,,,2019-07-11 13:43:44,2019-07-11 13:43:46,2.353s,PASSED
delay,,,2019-07-11 13:43:46,2019-07-11 13:43:51,5.013s,PASSED
