Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DapatkanRekomendasi,,,2019-07-03 10:16:04,2019-07-03 10:17:38,1m - 33.475s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-03 10:16:05,2019-07-03 10:17:00,54.547s,PASSED
startApplication,,,2019-07-03 10:16:06,2019-07-03 10:16:27,21.330s,PASSED
verifyElementText,,,2019-07-03 10:16:27,2019-07-03 10:16:31,4.504s,PASSED
tap,,,2019-07-03 10:16:31,2019-07-03 10:16:35,3.405s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-03 10:16:35,2019-07-03 10:16:52,17.578s,PASSED
setText,,,2019-07-03 10:16:52,2019-07-03 10:16:54,2.021s,PASSED
tap,,,2019-07-03 10:16:54,2019-07-03 10:16:56,1.423s,PASSED
delay,,,2019-07-03 10:16:56,2019-07-03 10:16:59,3.057s,PASSED
verifyElementText,,,2019-07-03 10:16:59,2019-07-03 10:17:00,0.703s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-03 10:17:00,2019-07-03 10:17:08,8.030s,PASSED
delay,,,2019-07-03 10:17:00,2019-07-03 10:17:03,3.010s,PASSED
tap,,,2019-07-03 10:17:03,2019-07-03 10:17:05,1.526s,PASSED
setText,,,2019-07-03 10:17:05,2019-07-03 10:17:06,1.107s,PASSED
tap,,,2019-07-03 10:17:06,2019-07-03 10:17:08,2.047s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/EditTujuanFinansial,,,2019-07-03 10:17:08,2019-07-03 10:17:17,9.184s,PASSED
delay,,,2019-07-03 10:17:08,2019-07-03 10:17:11,3.008s,PASSED
tap,,,2019-07-03 10:17:11,2019-07-03 10:17:13,1.648s,PASSED
delay,,,2019-07-03 10:17:13,2019-07-03 10:17:16,3.008s,PASSED
tap,,,2019-07-03 10:17:16,2019-07-03 10:17:17,1.199s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/DapatkanRekomendasi,,,2019-07-03 10:17:17,2019-07-03 10:17:36,18.927s,FAILED
delay,,,2019-07-03 10:17:17,2019-07-03 10:17:20,3.009s,PASSED
setText,,,2019-07-03 10:17:20,2019-07-03 10:17:36,15.585s,FAILED
