Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01_Filter,,,2019-07-05 10:30:16,2019-07-05 10:31:17,1m - 1.822s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-05 10:30:16,2019-07-05 10:31:06,49.900s,PASSED
startApplication,,,2019-07-05 10:30:17,2019-07-05 10:30:35,18.042s,PASSED
verifyElementText,,,2019-07-05 10:30:35,2019-07-05 10:30:41,6.229s,PASSED
tap,,,2019-07-05 10:30:41,2019-07-05 10:30:42,1.283s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-05 10:30:42,2019-07-05 10:30:59,16.826s,PASSED
setText,,,2019-07-05 10:30:59,2019-07-05 10:31:01,2.313s,PASSED
tap,,,2019-07-05 10:31:01,2019-07-05 10:31:03,1.408s,PASSED
delay,,,2019-07-05 10:31:03,2019-07-05 10:31:06,3.054s,PASSED
verifyElementText,,,2019-07-05 10:31:06,2019-07-05 10:31:06,0.244s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-05 10:31:06,2019-07-05 10:31:14,7.660s,PASSED
delay,,,2019-07-05 10:31:06,2019-07-05 10:31:09,3.013s,PASSED
tap,,,2019-07-05 10:31:09,2019-07-05 10:31:11,1.339s,PASSED
setText,,,2019-07-05 10:31:11,2019-07-05 10:31:12,1.087s,PASSED
tap,,,2019-07-05 10:31:12,2019-07-05 10:31:14,2.003s,PASSED
,,,,,,
Test Cases/Home/Reksadana/Filter/Filter,,,2019-07-05 10:31:14,2019-07-05 10:31:15,1.419s,FAILED
tap,,,2019-07-05 10:31:14,2019-07-05 10:31:15,1.120s,FAILED
