Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ListUpdateTerbaru,,,2019-07-11 16:38:45,2019-07-11 16:40:15,1m - 30.455s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-11 16:38:45,2019-07-11 16:39:38,52.931s,PASSED
startApplication,,,2019-07-11 16:38:46,2019-07-11 16:39:07,20.762s,PASSED
verifyElementText,,,2019-07-11 16:39:07,2019-07-11 16:39:12,5.778s,PASSED
tap,,,2019-07-11 16:39:12,2019-07-11 16:39:14,1.175s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-11 16:39:14,2019-07-11 16:39:32,18.019s,PASSED
setText,,,2019-07-11 16:39:32,2019-07-11 16:39:34,2.005s,PASSED
tap,,,2019-07-11 16:39:34,2019-07-11 16:39:35,1.401s,PASSED
delay,,,2019-07-11 16:39:35,2019-07-11 16:39:38,3.061s,PASSED
verifyElementText,,,2019-07-11 16:39:38,2019-07-11 16:39:38,0.236s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-11 16:39:38,2019-07-11 16:39:46,7.936s,PASSED
delay,,,2019-07-11 16:39:39,2019-07-11 16:39:42,3.009s,PASSED
tap,,,2019-07-11 16:39:42,2019-07-11 16:39:43,1.569s,PASSED
setText,,,2019-07-11 16:39:43,2019-07-11 16:39:44,1.048s,PASSED
tap,,,2019-07-11 16:39:44,2019-07-11 16:39:46,2.045s,PASSED
,,,,,,
Test Cases/Home/UpdateTerbaru,,,2019-07-11 16:39:46,2019-07-11 16:40:14,27.251s,PASSED
delay,,,2019-07-11 16:39:47,2019-07-11 16:39:54,7.007s,PASSED
tap,,,2019-07-11 16:39:54,2019-07-11 16:39:57,3.429s,PASSED
swipe,,Swipe Vertical from top to bottom,2019-07-11 16:39:57,2019-07-11 16:39:59,2.459s,PASSED
tap,,,2019-07-11 16:39:59,2019-07-11 16:40:00,1.057s,PASSED
swipe,,Swipe Vertical from top to bottom,2019-07-11 16:40:00,2019-07-11 16:40:03,2.375s,PASSED
tap,,,2019-07-11 16:40:03,2019-07-11 16:40:06,3.364s,PASSED
swipe,,Swipe Vertical from top to bottom,2019-07-11 16:40:06,2019-07-11 16:40:09,2.331s,PASSED
delay,,,2019-07-11 16:40:09,2019-07-11 16:40:14,5.011s,PASSED
