Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-08 15:25:24,2019-07-08 15:27:10,1m - 45.974s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-08 15:25:25,2019-07-08 15:26:21,56.793s,PASSED
startApplication,,,2019-07-08 15:25:25,2019-07-08 15:25:47,22.206s,PASSED
verifyElementText,,,2019-07-08 15:25:47,2019-07-08 15:25:55,7.393s,PASSED
tap,,,2019-07-08 15:25:55,2019-07-08 15:25:56,1.646s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-08 15:25:56,2019-07-08 15:26:15,18.266s,PASSED
setText,,,2019-07-08 15:26:15,2019-07-08 15:26:17,2.024s,PASSED
tap,,,2019-07-08 15:26:17,2019-07-08 15:26:18,1.478s,PASSED
delay,,,2019-07-08 15:26:18,2019-07-08 15:26:21,3.050s,PASSED
verifyElementText,,,2019-07-08 15:26:21,2019-07-08 15:26:21,0.207s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-08 15:26:21,2019-07-08 15:26:29,7.712s,PASSED
delay,,,2019-07-08 15:26:22,2019-07-08 15:26:25,3.012s,PASSED
tap,,,2019-07-08 15:26:25,2019-07-08 15:26:26,1.278s,PASSED
setText,,,2019-07-08 15:26:26,2019-07-08 15:26:27,1.075s,PASSED
tap,,,2019-07-08 15:26:27,2019-07-08 15:26:29,2.048s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-08 15:26:29,2019-07-08 15:27:08,39.107s,FAILED
delay,,,2019-07-08 15:26:29,2019-07-08 15:26:32,3.015s,PASSED
tap,,,2019-07-08 15:26:32,2019-07-08 15:26:36,3.141s,PASSED
delay,,,2019-07-08 15:26:36,2019-07-08 15:26:38,2.006s,PASSED
checkElement,,,2019-07-08 15:26:38,2019-07-08 15:27:08,30.678s,FAILED
