Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DapatkanRekomendasi,,,2019-07-03 10:38:41,2019-07-03 10:40:12,1m - 31.042s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-03 10:38:42,2019-07-03 10:39:35,52.895s,PASSED
startApplication,,,2019-07-03 10:38:42,2019-07-03 10:39:02,20.272s,PASSED
verifyElementText,,,2019-07-03 10:39:02,2019-07-03 10:39:08,5.961s,PASSED
tap,,,2019-07-03 10:39:08,2019-07-03 10:39:10,1.975s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-03 10:39:10,2019-07-03 10:39:28,17.373s,PASSED
setText,,,2019-07-03 10:39:28,2019-07-03 10:39:30,1.937s,PASSED
tap,,,2019-07-03 10:39:30,2019-07-03 10:39:31,1.464s,PASSED
delay,,,2019-07-03 10:39:31,2019-07-03 10:39:34,3.067s,PASSED
verifyElementText,,,2019-07-03 10:39:34,2019-07-03 10:39:35,0.383s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-03 10:39:35,2019-07-03 10:39:43,7.984s,PASSED
delay,,,2019-07-03 10:39:35,2019-07-03 10:39:38,3.013s,PASSED
tap,,,2019-07-03 10:39:38,2019-07-03 10:39:39,1.629s,PASSED
setText,,,2019-07-03 10:39:39,2019-07-03 10:39:41,1.088s,PASSED
tap,,,2019-07-03 10:39:41,2019-07-03 10:39:43,2.068s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/EditTujuanFinansial,,,2019-07-03 10:39:43,2019-07-03 10:39:52,9.613s,PASSED
delay,,,2019-07-03 10:39:43,2019-07-03 10:39:46,3.007s,PASSED
tap,,,2019-07-03 10:39:46,2019-07-03 10:39:48,2.321s,PASSED
delay,,,2019-07-03 10:39:48,2019-07-03 10:39:51,3.006s,PASSED
tap,,,2019-07-03 10:39:51,2019-07-03 10:39:52,1.071s,PASSED
,,,,,,
Test Cases/Home/TujuanFinansialUtamaKu/DapatkanRekomendasi,,,2019-07-03 10:39:52,2019-07-03 10:40:11,18.334s,FAILED
delay,,,2019-07-03 10:39:52,2019-07-03 10:39:55,3.008s,PASSED
setText,,,2019-07-03 10:39:55,2019-07-03 10:40:11,15.140s,FAILED
