Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reedem,,,2019-07-15 10:14:46,2019-07-15 10:16:44,1m - 58.623s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-15 10:14:47,2019-07-15 10:15:40,52.945s,PASSED
startApplication,,,2019-07-15 10:14:47,2019-07-15 10:15:07,19.179s,PASSED
verifyElementText,,,2019-07-15 10:15:07,2019-07-15 10:15:11,4.302s,PASSED
tap,,,2019-07-15 10:15:11,2019-07-15 10:15:13,2.586s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-15 10:15:13,2019-07-15 10:15:32,18.383s,PASSED
setText,,,2019-07-15 10:15:32,2019-07-15 10:15:34,2.024s,PASSED
tap,,,2019-07-15 10:15:34,2019-07-15 10:15:35,1.483s,PASSED
delay,,,2019-07-15 10:15:35,2019-07-15 10:15:38,3.078s,PASSED
verifyElementText,,,2019-07-15 10:15:38,2019-07-15 10:15:40,1.238s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-15 10:15:40,2019-07-15 10:15:48,8.038s,PASSED
delay,,,2019-07-15 10:15:40,2019-07-15 10:15:43,3.007s,PASSED
tap,,,2019-07-15 10:15:43,2019-07-15 10:15:44,1.608s,PASSED
setText,,,2019-07-15 10:15:44,2019-07-15 10:15:46,1.089s,PASSED
tap,,,2019-07-15 10:15:46,2019-07-15 10:15:48,2.097s,PASSED
,,,,,,
Test Cases/Home/Portfolio/Reedem,,,2019-07-15 10:15:48,2019-07-15 10:16:43,54.851s,FAILED
delay,,,2019-07-15 10:15:48,2019-07-15 10:15:53,5.005s,PASSED
tap,,,2019-07-15 10:15:53,2019-07-15 10:15:55,1.932s,PASSED
delay,,,2019-07-15 10:15:55,2019-07-15 10:16:05,10.005s,PASSED
tap,,,2019-07-15 10:16:05,2019-07-15 10:16:06,1.600s,PASSED
delay,,,2019-07-15 10:16:06,2019-07-15 10:16:11,5.004s,PASSED
tap,,,2019-07-15 10:16:11,2019-07-15 10:16:43,31.018s,FAILED
