Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-08 15:32:44,2019-07-08 15:34:02,1m - 17.684s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-08 15:32:45,2019-07-08 15:33:39,53.946s,PASSED
startApplication,,,2019-07-08 15:32:46,2019-07-08 15:33:06,20.371s,PASSED
verifyElementText,,,2019-07-08 15:33:06,2019-07-08 15:33:13,7.100s,PASSED
tap,,,2019-07-08 15:33:13,2019-07-08 15:33:15,1.629s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-08 15:33:15,2019-07-08 15:33:32,17.208s,PASSED
setText,,,2019-07-08 15:33:32,2019-07-08 15:33:34,1.951s,PASSED
tap,,,2019-07-08 15:33:34,2019-07-08 15:33:35,1.565s,PASSED
delay,,,2019-07-08 15:33:35,2019-07-08 15:33:39,3.045s,PASSED
verifyElementText,,,2019-07-08 15:33:39,2019-07-08 15:33:39,0.237s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-08 15:33:39,2019-07-08 15:33:47,7.948s,PASSED
delay,,,2019-07-08 15:33:39,2019-07-08 15:33:42,3.007s,PASSED
tap,,,2019-07-08 15:33:42,2019-07-08 15:33:44,1.450s,PASSED
setText,,,2019-07-08 15:33:44,2019-07-08 15:33:45,1.077s,PASSED
tap,,,2019-07-08 15:33:45,2019-07-08 15:33:47,2.093s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-08 15:33:47,2019-07-08 15:34:00,12.929s,FAILED
delay,,,2019-07-08 15:33:47,2019-07-08 15:33:50,3.016s,PASSED
tap,,,2019-07-08 15:33:50,2019-07-08 15:33:54,3.669s,PASSED
delay,,,2019-07-08 15:33:54,2019-07-08 15:33:56,2.007s,PASSED
verifyElementExist,,,2019-07-08 15:33:56,2019-07-08 15:34:00,3.837s,FAILED
