Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Top_Up,,,2019-07-09 10:14:47,2019-07-09 10:15:58,1m - 10.867s,PASSED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-07-09 10:14:48,2019-07-09 10:15:36,48.629s,PASSED
startApplication,,,2019-07-09 10:14:48,2019-07-09 10:15:06,17.174s,PASSED
verifyElementText,,,2019-07-09 10:15:06,2019-07-09 10:15:11,5.824s,PASSED
tap,,,2019-07-09 10:15:11,2019-07-09 10:15:13,1.210s,PASSED
"Statement - For ([i = 0, i < 4, (i++)])",,,2019-07-09 10:15:13,2019-07-09 10:15:29,16.857s,PASSED
setText,,,2019-07-09 10:15:29,2019-07-09 10:15:31,1.953s,PASSED
tap,,,2019-07-09 10:15:31,2019-07-09 10:15:33,1.409s,PASSED
delay,,,2019-07-09 10:15:33,2019-07-09 10:15:36,3.053s,PASSED
verifyElementText,,,2019-07-09 10:15:36,2019-07-09 10:15:36,0.653s,PASSED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-07-09 10:15:37,2019-07-09 10:15:44,7.101s,PASSED
delay,,,2019-07-09 10:15:37,2019-07-09 10:15:40,3.008s,PASSED
tap,,,2019-07-09 10:15:40,2019-07-09 10:15:41,0.825s,PASSED
setText,,,2019-07-09 10:15:41,2019-07-09 10:15:42,1.004s,PASSED
tap,,,2019-07-09 10:15:42,2019-07-09 10:15:44,2.028s,PASSED
,,,,,,
Test Cases/Home/Portfolio/TopUP,,,2019-07-09 10:15:44,2019-07-09 10:15:57,13.018s,PASSED
delay,,,2019-07-09 10:15:44,2019-07-09 10:15:49,5.020s,PASSED
tap,,,2019-07-09 10:15:49,2019-07-09 10:15:51,1.953s,PASSED
tap,,,2019-07-09 10:15:51,2019-07-09 10:15:54,2.980s,PASSED
tap,,,2019-07-09 10:15:54,2019-07-09 10:15:55,1.090s,PASSED
tap,,,2019-07-09 10:15:55,2019-07-09 10:15:57,1.574s,PASSED
