Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BeriMasukan,,,2019-08-13 13:13:33,2019-08-13 13:13:39,5.539s,FAILED
,,,,,,
Test Cases/Login/LoginTrue,,,2019-08-13 13:13:34,2019-08-13 13:13:34,0.647s,FAILED
startApplication,,,2019-08-13 13:13:34,2019-08-13 13:13:34,0.230s,FAILED
,,,,,,
Test Cases/OTP/LoginOTP,,,2019-08-13 13:13:34,2019-08-13 13:13:38,3.285s,FAILED
delay,,,2019-08-13 13:13:35,2019-08-13 13:13:38,3.030s,PASSED
tap,,,2019-08-13 13:13:38,2019-08-13 13:13:38,0.087s,PASSED
,,,,,,
Test Cases/Profile/BeriMasukan,,,2019-08-13 13:13:38,2019-08-13 13:13:39,1.087s,FAILED
acceptAlert,,,2019-08-13 13:13:38,2019-08-13 13:13:39,0.918s,FAILED
